id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1.34782E+18,Rachel Waters ??,"Cottingham, East Yorks",Cardiac physiologist and UNISON branch secretary. Works in and loves the NHS.,2010/5/29 12:34,976,2324,30206,FALSE,2021/1/9 8:28,"Day two post #PfizerBioNTech vaccine @HullHospitals and I have no side effects, I feel very well, and the slight ac… https://t.co/aaH71NfuQt",['PfizerBioNTech'],Twitter for iPhone,2,21,FALSE
1.34761E+18,Melissa GD M.D.,,I Still Believe That I Will Get Superpowers One Day,2011/5/24 0:23,101,199,19,FALSE,2021/1/8 18:35,"After having no side effects from the first dose, here I am full of hope and trust again for Round 2 of… https://t.co/SWaTXxfmTx",,Instagram,0,0,FALSE
1.34827E+18,Elaine NiChonghaile,"Cork, Ireland","Caffeine dependent. Nature lover. Nurse. 
Dog Mom ??",2012/1/18 17:24,396,1947,8790,FALSE,2021/1/10 14:02,Almost 24 hours post my first dose of #COVID19vaccine #PfizerBioNTech and only side effects thus far have been excessive cleaning and DIY ??,"['COVID19vaccine', 'PfizerBioNTech']",Twitter for Android,0,4,FALSE
1.34825E+18,Georgie,"South East, England",Just a small town girl,2020/8/23 8:17,34,21,387,FALSE,2021/1/10 12:54,"Worried about the COVID vaccine? I’m a NHS Dental Nurse, had my vaccine on Friday. 

My side effects:

-Painful arm… https://t.co/1MCtOubuWI",,Twitter for iPhone,0,0,FALSE
1.34821E+18,Roberta Migale ??,"London, England",??????? PostDoc @TheCrick  ~ Research on sex determination@ Lovell-Badge Lab ?? Climber ???♀? Wildlife lover ?? Sustainability enthusiast????Opinions are my own,2016/6/13 13:03,249,647,1509,FALSE,2021/1/10 10:04,Yesterday I received my first dose of the #PfizerBioNTech #COVID19vaccine ??????side effects manifested so far: an ove… https://t.co/SC7IZodsPm,"['PfizerBioNTech', 'COVID19vaccine']",Twitter Web App,2,41,FALSE
1.34813E+18,"Jeremy Warner MD, MS, FAMIA, FASCO","Nashville, TN",Associate Professor of Medicine & Biomedical Informatics @ Vanderbilt; Deputy Editor at https://t.co/K8WyGm0NE9. Tweets my own.,2014/11/12 2:55,1632,796,3672,FALSE,2021/1/10 4:53,"Buckle up buttercup, the second #PfizerBioNTech dose is a bear! My misgivings about very mild side effects with the… https://t.co/pBsSdWOw8P",['PfizerBioNTech'],Twitter Web App,1,10,FALSE
1.34811E+18,Dr.Krutika Kuppalli,,"ID, Global Health, VHF, Pandemic Prep, Emerging Infections, & Health Policy MD| U.S. Congress COVID-19 expert witness x 2 | ELBI 2020 @JHSPH_CHS",2019/3/25 4:14,22773,605,8113,TRUE,2021/1/10 3:12,@tessarakt @zephyr9673 The side effect profile for the #PfizerBioNTech vaccine is pretty much identical to the… https://t.co/8Uf4DvYKwX,['PfizerBioNTech'],Twitter Web App,1,1,FALSE
1.34803E+18,NICOLA KEENAN,Cheshire.,Interested in photography. Wildlife. NHS. Nursing. A little bit of Politics!,2014/1/12 12:38,148,453,603,FALSE,2021/1/9 22:09,Had my first Covid-19 vaccine today. No side effects and I’ll be giving them to others on Thursday at the Middlewic… https://t.co/ETbOLcBpMY,,Twitter for iPhone,0,1,FALSE
1.34802E+18,"Nataniel Lester-Coll, MD","Vermont, USA",MD @PennMedicine ? #RadOnc @YaleMed ?? @UVMMedCenter @UVMLarnerMed ? GU and thoracic cancers ? Assoc editor #AdvancesRO #OncoAlert ??? Married @candaspinar,2014/1/14 21:31,3634,1689,21330,TRUE,2021/1/9 21:24,"@IHaveSinus Same here with my #PfizerBioNTech 2nd dose 

Sore arm was my only side effect and it lasted about a day",['PfizerBioNTech'],Twitter for iPhone,0,1,FALSE
1.34801E+18,"Dr. Professional Nosepicker, MD",Midwest,"?????????? ENT surgeon. Tweets are opinions, mine and mine alone, and are not intended to be medical advice. #ENTsurgery #ILookLikeASurgeon ??????",2009/6/7 19:13,1945,751,7962,FALSE,2021/1/9 21:02,So I actually went and looked at the data about side effects after the #PfizerBioNTech vaccine. Even after the seco… https://t.co/9Sh5EfQ99b,['PfizerBioNTech'],Twitter for iPhone,4,21,FALSE
1.3483E+18,May,,You Do You ? None of our business what other people think about us (I promise .. U won't walk alone) ? Content Writer/Translator,2014/3/22 7:54,275,1523,807,FALSE,2021/1/10 15:50,"English-Lit: The Possible Side Effects of Pfizer - BioNTech - V... https://t.co/Xm7a5NSg2c 

#vaccine… https://t.co/2ZpA5zCpdu",['vaccine'],Twitter for Android,0,0,FALSE
1.34859E+18,Roberta Migale ??,"London, England",??????? PostDoc @TheCrick  ~ Research on sex determination@ Lovell-Badge Lab ?? Climber ???♀? Wildlife lover ?? Sustainability enthusiast????Opinions are my own,2016/6/13 13:03,251,648,1536,FALSE,2021/1/11 11:10,"Update on side effects from the #PfizerBioNTech vaccine I received: day0: feeling good, day1 (yesterday afternoon)… https://t.co/tfuWaxf2UZ",['PfizerBioNTech'],Twitter Web App,0,11,FALSE
1.34857E+18,Ash_bambury,"Cork, Ireland","consultant psychiatrist, previous life as a scientist in molecular evolution, general nerd and mum to 2 amazing boys",2020/2/24 19:17,111,213,2025,FALSE,2021/1/11 9:55,So happy to receive my #COVIDVaccination I can confirm the main side effect is indeed euphoria! #COVID19 thank you… https://t.co/Vu1l3fkgpX,"['COVIDVaccination', 'COVID19']",Twitter for iPhone,26,469,FALSE
1.34899E+18,Fidan Rahimli,Israel,"MD,Otorhinolaringologist



Azerbaijan?????? Turkey?????? Israel ????",2015/7/12 9:37,154,284,242,FALSE,2021/1/12 14:06,After the second dose of the #PfizerBioNTech  #vaccine.  There is no side effect yet. Vaccination will save the wor… https://t.co/BdEayqfRzq,"['PfizerBioNTech', 'vaccine']",Twitter for Android,4,5,FALSE
1.34981E+18,Dennis BeQ,Belgium,a Dreamer.,2011/9/20 6:06,34,163,158,FALSE,2021/1/14 19:52,"Or when ""side effects"" of a so-called ""cure"" are more harmful than the virus itself... #Moderna #PfizerBioNTech… https://t.co/MgrjcakjVt","['Moderna', 'PfizerBioNTech']",Twitter Web App,0,1,FALSE
1.34944E+18,Dr.Krutika Kuppalli,,"ID, Global Health, VHF, Pandemic Prep, Emerging Infections, & Health Policy MD| U.S. Congress COVID-19 expert witness x 2 | ELBI 2020 @JHSPH_CHS",2019/3/25 4:14,22952,602,8177,TRUE,2021/1/13 19:18,Here are some slides I put together about the side effects of the #PfizerBioNTech #CovidVaccine… https://t.co/TwkK6HKtnj,"['PfizerBioNTech', 'CovidVaccine']",Twitter for iPhone,4,9,FALSE
1.34941E+18,manohar budhathoki,England ,UK General Practitioner.?? NHS.half an eye on Nepal affairs. Believe in advocating for minorities/disadvantaged.,2012/1/15 21:32,987,1432,12942,FALSE,2021/1/13 17:44,48 hours since my second #PfizerBioNTech vaccine and no side effects. Please get yours when offered. https://t.co/l5SQY4LYzD,['PfizerBioNTech'],Twitter for iPhone,0,3,FALSE
1.35005E+18,HerGoddessship ?? ??????,,Authentic cannot be imitated.,2012/12/20 16:52,993,908,3463,FALSE,2021/1/15 12:12,Side effects felt 8 hrs later: tenderness &amp; swelling of the injected muscle; fatigue in the arm muscle; pain in the… https://t.co/7j5dJREqaS,,Twitter for iPad,0,0,FALSE
1.35003E+18,"Party politics isn't working for anyone, anywhere","Wales, United Kingdom","No lie to another is respectful; no lie to yourself is healthy.   ""Official lies"" should mean ""Official jail""",2016/8/3 20:11,760,538,35124,FALSE,2021/1/15 10:37,"#COVID19 #VACCINE side effects

this particularly monitors #PfizerBioNTech as it's only one available #Netherlands… https://t.co/9aVWxDKunp","['COVID19', 'VACCINE', 'PfizerBioNTech', 'Netherlands']",Twitter Web App,0,3,FALSE
1.35E+18,Rebecca Rigney,????,Aunt ????????Travel ?? Paramedic ?? BSc(c) @parastudiesul ?? Interests #silvertrauma #humanfactors #kindness #fitness #mentalhealth ?? #heforshe views my own,2019/4/19 14:50,732,1882,33553,FALSE,2021/1/15 8:48,"@TheCelticMedic Got mine the other day, #PfizerBioNTech side effects... mildly sore arm and buckets of gratitude ????",['PfizerBioNTech'],Twitter for iPhone,0,1,FALSE
1.34978E+18,Rachel,,God girl. Cat mom.,2010/3/5 8:33,408,1311,8984,FALSE,2021/1/14 17:48,No side effects from the vaccine. Feeling great! #CovidVaccine #PfizerBioNTech,"['CovidVaccine', 'PfizerBioNTech']",Twitter for Android,0,0,FALSE
1.34973E+18,"Jacqueline Pullos, COMT, OSC, CTC","Salt Lake City, UT","Ophthalmic Technologist/Educator: Moran Eye Center; President, Associated Technical Personnel in Ophthalmology (ATPO); Staff Advisory Board: Alcon Surgical",2009/6/15 15:46,44,158,3345,FALSE,2021/1/14 14:30,"Second Covid vaccine, 14 hours ago (Pfizer) - side effects:  so far, no different from first vaccine.  Just a sore… https://t.co/OvcE9luAtO",,Twitter Web App,0,1,FALSE
1.35023E+18,anne o'farrell,,"Independent thinker who hates groupthink. Lover of books, ideas, language, clear communicating, creative & critical thinking, visionary politics",2010/10/25 18:46,106,328,1554,FALSE,2021/1/15 23:39,Should we be exposing vulnerable elderly people to a vaccine whose side effects have not had adequate time to be in… https://t.co/MdjFQhIOe7,,Twitter for Android,0,0,FALSE
1.3502E+18,Tracy Hackshaw,Trinidad & Tobago,#DigitalFirst | Our Future is NOW. OWN the Future. | RT/Shares = 'look at this' & DO NOT = endorsement. Nor do Likes/Follows | https://t.co/8MkfeZ7evJ | ????,2008/2/4 19:36,1014,248,8745,FALSE,2021/1/15 22:08,#Norway Warns of #COVID19 Vaccination Risks for Sick Patients Over 80. Officials say side effects may have contribu… https://t.co/S0Xkw67PM4,"['Norway', 'COVID19']",Twitter for Android,1,1,FALSE
