,history,n
182,colitis,103
183,covid prior,102
184,diabetes type,102
185,spinal,102
186,generalized,101
187,pacemaker,101
188,urinary,100
189,depressive,99
190,diabetes hypertension,99
191,bladder,98
192,covid prior vaccination,98
193,respiratory,98
194,environmental,97
195,hypercholesterolemia,97
196,since,97
197,sinus,97
198,z,97
199,elevated,96
200,gastroesophageal,95
201,lower,95
202,post,95
203,update,95
204,f,94
205,gastroesophageal reflux,94
206,m,94
207,past,94
208,seizure,94
209,weakness,94
210,replacement,93
211,bowel,92
212,depressive disorder,92
213,endometriosis,91
214,recurrent,91
215,alzheimers,90
216,disc,90
217,essential hypertension,90
218,food allergy,90
219,osa,90
220,lumbar,89
221,vitamin d deficiency,89
222,celiac,88
223,crohns,88
224,osteopenia,88
225,reaction,88
226,degeneration,87
227,iron,87
228,parkinsons,87
229,thyroiditis,87
230,use,87
231,verbatim,87
232,hip,86
233,headaches,85
234,eczema,84
235,epilepsy,84
236,obstructive sleep,84
237,b,83
238,colon,83
239,leg,83
240,fracture,82
241,obstructive sleep apnea,82
242,see,82
243,stent,82
244,bp,81
245,cerebral,81
246,positive,81
247,therapy,81
248,cva,80
249,dyslipidemia,80
250,edema,80
251,irritable,80
252,ptsd,80
253,anxiety disorder,79
254,hcc,79
255,ho,79
256,induced,79
257,known allergies,79
258,pressure high cholesterol,79
259,major depressive,78
260,medication,78
261,mitral,78
262,hernia,77
263,irritable bowel,77
264,latex,77
265,muscle,77
266,pneumonia,77
267,bypass,76
268,cervical,76
269,condition,76
270,hearing,76
271,insufficiency,76
272,major depressive disorder,76
273,diabetes high,75
274,macular,75
275,prostate cancer,75
276,ulcerative,75
277,hypertension hypothyroidism,74
278,long,74
279,neck,74
280,cardiomyopathy,73
281,drug allergy,73
282,esophagitis,73
283,paroxysmal,73
284,ovarian,72
285,spinal stenosis,72
286,bowel syndrome,71
287,brain,71
288,hyperlipidemia hypertension,71
289,joint,71
290,last,71
291,seizures,71
292,vaccine,71
293,hbp,70
294,diastolic,69
295,irritable bowel syndrome,69
296,macular degeneration,69
297,problems,69
298,sinusitis,69
299,vertigo,69
300,iron deficiency,68
301,overweight,68
302,year,68
303,blood pressure abnormal,67
304,carcinoma,67
305,pressure abnormal,67
306,status,67
307,x,67
308,angina,66
309,shellfish,66
310,treatment,66
311,ulcerative colitis,66
312,well,66
313,aortic valve,65
314,attack,65
315,graves,65
316,morbid,65
317,primary hypertension,65
318,treated,65
319,allergy known,64
320,htn hyperlipidemia,64
321,latex allergy,64
322,malignant,64
323,neoplasm,64
324,allergy known allergies,63
325,current,63
326,degenerative,63
327,medications,63
328,o,63
329,sclerosis,63
330,skin,63
331,thyroid cancer,63
332,g,62
333,htn hld,62
334,idiopathic,62
335,hashimotos thyroiditis,61
336,health,61
337,infarction,61
338,mitral valve,61
339,seasonal allergy,61
340,stay,61
341,stones,61
342,thyroid disorder,61
343,time,61
344,yes,61
345,c,60
346,encounter,60
347,intermittent,60
348,kidney stage,60
349,lymphoma,60
350,polycystic,60
351,prostatic,60
352,aneurysm,59
353,essential primary,59
354,ischemic,59
355,low back,59
356,seizure disorder,59
357,bmi,58
358,environmental allergies,58
359,injury,58
360,scoliosis,58
361,specified,58
362,transplant,58
363,ii diabetes,57
364,l,57
365,meds,57
366,raynauds,57
367,shellfish allergy,57
368,type ii diabetes,57
369,hyperplasia,56
370,psoriatic,56
371,sjogrens,56
372,exercise,55
373,induced asthma,55
374,low back pain,55
375,symptoms,55
376,essential primary hypertension,54
377,hearing loss,54
378,mixed,54
379,psoriatic arthritis,54
380,anaphylaxis,53
381,asthma allergies,53
382,bipolar disorder,53
383,covid covid,53
384,deficiency anemia,53
385,multiple sclerosis,53
386,restless,53
387,shoulder,53
388,benign prostatic,52
389,dermatitis,52
390,esophageal,52
391,mild asthma,52
392,moderate,52
393,prolapse,52
394,removed,52
395,side,52
396,smoker,52
397,atherosclerotic,51
398,cataract,51
399,ckd stage,51
400,diverticulitis,51
401,factor,51
402,gastritis,51
403,high bp,51
404,j,51
405,morbid obesity,51
406,one,51
407,paroxysmal atrial,51
408,behavioral,50
409,bronchitis,50
410,dry,50
411,intolerance,50
412,pvd,50
413,sulfa,50
414,cyst,49
415,incontinence,49
416,insulin,49
417,k,49
418,kidney stones,49
419,personal,49
420,admission,48
421,diabetes mellitus type,48
422,dm htn,48
423,dysfunction,48
424,fatigue,48
425,iron deficiency anemia,48
426,mellitus type,48
427,peripheral vascular,48
428,tract,48
429,acceptable,47
430,acceptable primary,47
431,acceptable primary diagnosis,47
432,also,47
433,atherosclerotic heart,47
434,cognitive,47
435,disturbance,47
436,hypertension diabetes,47
437,malignant neoplasm,47
438,murmur,47
439,na acceptable,47
440,na acceptable primary,47
441,native,47
442,primary diagnosis,47
443,dvt,46
444,exercise induced,46
445,generalized anxiety,46
446,months,46
447,paroxysmal atrial fibrillation,46
448,prostatic hyperplasia,46
449,tia,46
450,fib,45
451,gastric,45
452,hypertension gerd,45
453,ovarian syndrome,45
454,radiation,45
455,respiratory failure,45
456,ulcer,45
457,well controlled,45
458,add,44
459,diabetes high blood,44
460,diverticulosis,44
461,immune,44
462,muscle weakness,44
463,type dm,44
464,allergy allergies,43
465,allergy sulfonamide,43
466,allergy sulfonamide allergy,43
467,angina pectoris,43
468,atherosclerosis,43
469,ca,43
470,control,43
471,cough,43
472,hepatitis,43
473,mi,43
474,pectoris,43
475,ra,43
476,syncope,43
477,anemia unspecified,42
478,carotid,42
479,disorders,42
480,fatty,42
481,htn gerd,42
482,hypertension high,42
483,n,42
484,obstructive pulmonary,42
485,polycystic ovarian,42
486,record,42
487,arrhythmia,41
488,asthma hypertension,41
489,behavioral disturbance,41
490,dx,41
491,fatty liver,41
492,fruit,41
493,legs,41
494,lyme,41
495,polycystic ovarian syndrome,41
496,urinary tract,41
497,valve replacement,41
498,weight,41
499,age,40
500,borderline,40
501,dust,40
502,fever,40
503,fruit allergy,40
504,heart attack,40
505,herpes,40
506,hypokalemia,40
507,nerve,40
508,prediabetic,40
509,resolve,40
510,svt,40
511,adult,39
512,benign prostatic hyperplasia,39
513,bleeding,39
514,exercise induced asthma,39
515,h,39
516,hypotension,39
517,melanoma,39
518,per,39
519,placement,39
520,sensitivity,39
521,thyroidectomy,39
522,urticaria,39
523,cabg,38
524,covid covid prior,38
525,current use,38
526,emphysema,38
527,family,38
528,hypertension obesity,38
529,hyperthyroidism,38
530,nasal,38
531,nodule,38
532,previous,38
533,shingles,38
534,spine,38
535,taking,38
536,uti,38
537,valve prolapse,38
538,venous,38
539,vit,38
540,without esophagitis,38
541,anxietydepression,37
542,care,37
543,icd,37
544,increased,37
545,interstitial,37
546,obese,37
547,oxygen,37
548,palsy,37
549,repair,37
550,schizophrenia,37
551,sciatica,37
552,site,37
553,t,37
554,term,37
555,tunnel,37
556,block,36
557,bone,36
558,cirrhosis,36
559,comment,36
560,end,36
561,following,36
562,generalized anxiety disorder,36
563,gerd hypertension,36
564,leukemia,36
565,lung cancer,36
566,native coronary,36
567,native coronary artery,36
568,related,36
569,rosacea,36
570,status post,36
571,stents,36
572,ventricular,36
573,vit d,36
574,allergic reaction,35
575,blood cholesterol,35
576,cardiovascular,35
577,cell carcinoma,35
578,dependence,35
579,diastolic heart,35
580,episode,35
581,foot,35
582,hyperlipidemia unspecified,35
583,hysterectomy,35
584,local record,35
585,migraine headaches,35
586,mitral valve prolapse,35
587,peripheral neuropathy,35
588,stage kidney,35
589,tissue,35
590,total,35
591,traumatic,35
592,v,35
593,acne,34
594,cmshcc,34
595,decreased,34
596,diastolic heart failure,34
597,glucose,34
598,hypertension high cholesterol,34
599,noted,34
600,old,34
601,acquired,33
602,asthma seasonal,33
603,cerebral infarction,33
604,clotting,33
605,embolism,33
606,headache,33
607,long term,33
608,major depression,33
609,menopause,33
610,ms,33
611,pain syndrome,33
612,pollen,33
613,sting,33
614,stress,33
615,systolic,33
616,tumor,33
617,abuse,32
618,arm,32
619,asthma high,32
620,environmental allergy,32
621,eyes,32
622,hiatal,32
623,hiatal hernia,32
624,hiv,32
625,hyperlipidemia hypothyroidism,32
626,impairment,32
627,kidney failure,32
628,management,32
629,partial,32
630,pre,32
631,prior vaccination yes,32
632,reactive,32
633,region,32
634,removal,32
635,restless leg,32
636,system,32
637,vaccination yes,32
638,,31
639,agerelated,31
640,b deficiency,31
641,bee,31
642,blood cholesterol abnormal,31
643,carpal,31
644,carpal tunnel,31
645,cholesterol abnormal,31
646,cholesterol high,31
647,factor v,31
648,gerd gastroesophageal,31
649,gerd gastroesophageal reflux,31
650,hypertension type,31
651,impaired,31
652,intermittent asthma,31
653,list nonencoded comment,31
654,myocardial,31
655,nonencoded comment,31
656,nos,31
657,panic,31
658,reflux without,31
659,reflux without esophagitis,31
660,small,31
661,stent placement,31
662,asthma gerd,30
663,cerebrovascular,30
664,chest,30
665,dependent,30
666,diabetes htn,30
667,diagnosed years,30
668,dialysis,30
669,dm type,30
670,elevated cholesterol,30
671,gastroesophageal reflux without,30
672,heart murmur,30
673,heart native,30
674,heart native coronary,30
675,hypertensive,30
676,infections,30
677,knees,30
678,oa,30
679,obesity bmi,30
680,palpitations,30
681,possible,30
682,radiculopathy,30
683,virus,30
684,asthma depression,29
685,atherosclerotic heart native,29
686,chart,29
687,connective,29
688,connective tissue,29
689,depression hypertension,29
690,gerd hyperlipidemia,29
691,gi,29
692,htn dm,29
693,hyperlipidemia htn,29
694,hypertension asthma,29
695,leg syndrome,29
696,muscle weakness generalized,29
697,resolved,29
698,restless leg syndrome,29
699,w,29
700,weakness generalized,29
701,ablation,28
702,aortic valve replacement,28
703,asthma seasonal allergies,28
704,aura,28
705,complex,28
706,cpap,28
707,diagnosis update,28
708,ear,28
709,esophagus,28
710,feet,28
711,gluten,28
712,heart valve,28
713,hypertension type diabetes,28
714,lactose,28
715,lymphedema,28
716,mobility,28
717,new,28
718,occasional,28
719,open,28
720,overactive,28
721,overactive bladder,28
722,presence,28
723,problem,28
724,products,28
725,sick,28
726,sjogrens syndrome,28
727,spondylosis,28
728,tobacco,28
729,unspecified dementia,28
730,without behavioral,28
731,abdominal,27
732,alcohol,27
733,autoimmune disorder,27
734,complications,27
735,cystitis,27
736,dec,27
737,dementia without,27
738,diabetes heart,27
739,diagnosed years ago,27
740,elsewhere,27
741,encephalopathy,27
742,enlarged,27
743,esrd,27
744,gerd htn,27
745,heart condition,27
746,heart disorder,27
747,herniated,27
748,home,27
749,hypersensitivity,27
750,hypertension anxiety,27
751,hyponatremia,27
752,hypothyroidism hypertension,27
753,iii,27
754,intellectual,27
755,mental,27
756,mild intermittent,27
757,mixed hyperlipidemia,27
758,myocardial infarction,27
759,neck pain,27
760,neuralgia,27
761,non,27
762,normal,27
763,polyps,27
764,present,27
765,tdm,27
766,upper,27
767,uterine,27
768,vaccination diagnosed,27
769,without behavioral disturbance,27
770,allergies asthma,26
771,allergies medications,26
772,aortic stenosis,26
773,barretts,26
774,classified,26
775,currently,26
776,deficit,26
777,degenerative disc,26
778,disability,26
779,end stage,26
780,extremity,26
781,gastroparesis,26
782,hashimoto,26
783,irregular,26
784,pots,26
785,prior vaccination diagnosed,26
786,renal failure,26
787,survivor,26
788,swelling,26
789,thrombocytopenia,26
790,vit d deficiency,26
791,acute respiratory,25
792,allergies medications food,25
793,anaphylactic,25
794,aortic aneurysm,25
795,cad htn,25
796,cardiac pacemaker,25
797,colon cancer,25
798,days,25
799,dementia without behavioral,25
800,depression gerd,25
801,diabetes high cholesterol,25
802,diabetes mellitus diabetic,25
803,diabetic neuropathy,25
804,diarrhea,25
805,difficulty,25
806,djd,25
807,dry eye,25
808,female,25
809,fibrosis,25
810,gait,25
811,high cholesterol high,25
812,hives,25
813,hospitalized,25
814,leiden,25
815,media,25
816,medications food,25
817,mellitus diabetic,25
818,mild intermittent asthma,25
819,narcolepsy,25
820,negative,25
821,nuts,25
822,pt,25
823,surgical,25
824,unk,25
825,vascular dementia,25
826,accident,24
827,allergy penicillin,24
828,asthma high blood,24
829,asthma migraines,24
830,attacks,24
831,blood pressure diabetes,24
832,bradycardia,24
833,childhood,24
834,daily,24
835,denies,24
836,depressionanxiety,24
837,diagnosed covid,24
838,diagnosis stay,24
839,diet,24
840,diseases,24
841,disorder recurrent,24
842,disorder unspecified,24
843,hypothyroidism unspecified,24
844,hypoxia,24
845,iodine,24
846,itp,24
847,left eye,24
848,listed,24
849,march,24
850,mass,24
851,mood,24
852,november,24
853,obstruction,24
854,orthostatic,24
855,pressure diabetes,24
856,pulmonary embolism,24
857,secondary stay,24
858,stomach,24
859,thrombosis,24
860,tremor,24
861,unspecified e,24
862,without angina,24
863,without angina pectoris,24
864,yrs,24
865,adhesive,23
866,adrenal,23
867,airway,23
868,allergy penicillin allergy,23
869,bee sting,23
870,body,23
871,brain injury,23
872,chemotherapy,23
873,clotting disorder,23
874,contact,23
875,depressive disorder recurrent,23
876,exposure,23
877,function,23
878,htn high,23
879,hypertension controlled,23
880,hypertrophy,23
881,interstitial cystitis,23
882,left knee,23
883,local,23
884,lymph,23
885,mast,23
886,menieres,23
887,nov,23
888,onset,23
889,pancreatitis,23
890,penicillin allergy sulfonamide,23
891,pulmonary hypertension,23
892,regurgitation,23
893,test,23
894,tested,23
895,thyroid nodule,23
896,tinnitus,23
897,tunnel syndrome,23
898,two,23
899,urinary incontinence,23
900,venous insufficiency,23
901,viral,23
902,weeks,23
903,abnormalities,22
904,active,22
905,asthma htn,22
906,basal,22
907,benign essential,22
908,blood pressure controlled,22
909,bypass surgery,22
910,cancer remission,22
911,cancer survivor,22
912,carotid artery,22
913,cellulitis,22
914,chest pain,22
915,cognitive impairment,22
916,contrast,22
917,eosinophilic,22
918,factor v leiden,22
919,fall,22
920,food products,22
921,healthy,22
922,hyperlipidemia gerd,22
923,long term current,22
924,medicine,22
925,pe,22
926,pressure controlled,22
927,provided,22
928,retention,22
929,single,22
930,stable,22
931,systemic,22
932,term current,22
933,tract infection,22
934,utis,22
935,v leiden,22
936,year ago,22
937,acute kidney,21
938,allergies sulfa,21
939,allergy hypertension,21
940,allergy nuts,21
941,angioedema,21
942,artery without,21
943,birth,21
944,blood pressure obesity,21
945,cold,21
946,confirmed,21
947,coronary artery without,21
948,covid infection,21
949,diabetes hypothyroidism,21
950,former,21
951,hemiplegia,21
952,htn cad,21
953,htn hypothyroidism,21
954,hypertension depression,21
955,hypo,21
956,issue,21
957,lower back,21
958,lower extremity,21
959,mast cell,21
960,metabolic,21
961,operation,21
962,polymyalgia,21
963,pressure obesity,21
964,rt,21
965,stage renal,21
966,stated,21
967,supraventricular,21
968,supraventricular tachycardia,21
969,term current use,21
970,triglycerides,21
971,vitamin b,21
972,abnormal blood,20
973,affecting,20
974,allergy allergies medications,20
975,anxiety asthma,20
976,aorta,20
977,artery without angina,20
978,arthritis asthma,20
979,atrophy,20
980,basal cell,20
981,bleed,20
982,bulkload,20
983,bulkload update,20
984,chemo,20
985,congenital,20
986,contrast media,20
987,cord,20
988,diabetes obesity,20
989,diastolic congestive,20
990,diastolic congestive heart,20
991,drugs,20
992,elsewhere classified,20
993,falls,20
994,gerd anxiety,20
995,goiter,20
996,hematuria,20
997,hemorrhage,20
998,hip replacement,20
999,hypothyroidism gerd,20
1000,hypothyroidism hyperlipidemia,20
1001,illness,20
1002,lactose intolerance,20
1003,lumpectomy,20
1004,nodules,20
1005,polyp,20
1006,pvcs,20
1007,restless legs,20
1008,rheumatica,20
1009,sarcoidosis,20
1010,shot,20
1011,sick sinus,20
1012,skin cancer,20
1013,snomed,20
1014,traumatic brain,20
1015,traumatic brain injury,20
1016,type diabetic,20
1017,urinary tract infection,20
1018,years old,20
1019,acid reflux esophageal,19
1020,advanced,19
1021,anxiety gerd,19
1022,apnea syndrome,19
1023,asthma covid,19
1024,barretts esophagus,19
1025,bells,19
1026,chart local,19
1027,chart local record,19
1028,cholesterol high blood,19
1029,contrast media allergy,19
1030,diabetes hyperlipidemia,19
1031,diabetes type ii,19
1032,dizziness,19
1033,dystrophy,19
1034,endocrine,19
1035,eosinophilic esophagitis,19
1036,first,19
1037,gad,19
1038,gastric bypass,19
1039,get,19
1040,heart surgery,19
1041,hep,19
1042,hospitalization,19
1043,htn depression,19
1044,htn high cholesterol,19
1045,ii diabetes mellitus,19
1046,insertion,19
1047,intellectual disability,19
1048,june,19
1049,longterm,19
1050,media allergy,19
1051,medications food products,19
1052,mellitus without,19
1053,open heart,19
1054,phase,19
1055,pregnancy,19
1056,rate,19
1057,recent,19
1058,reflux esophageal,19
1059,right knee,19
1060,sleep apnea syndrome,19
1061,squamous,19
1062,stone,19
1063,take,19
1064,takes,19
1065,thoracic,19
1066,times,19
1067,transient,19
1068,unspecified f,19
1069,unspecified i,19
1070,unspecified r,19
1071,user,19
1072,vein,19
1073,abnormal blood pressure,18
1074,adverse event provided,18
1075,anticoagulant,18
1076,aortic valve stenosis,18
1077,aphasia,18
1078,asthma diabetes,18
1079,bladder cancer,18
1080,cancer years,18
1081,carpal tunnel syndrome,18
1082,date,18
1083,day,18
1084,ddd,18
1085,degenerative joint,18
1086,diabetes asthma,18
1087,diabetes mellitus without,18
1088,diagnosis secondary,18
1089,dry eye syndrome,18
1090,end stage renal,18
1091,event provided,18
1092,eye syndrome,18
1093,fish,18
1094,former smoker,18
1095,gallbladder,18
1096,gerd depression,18
1097,hypothyroidism depression,18
1098,hypothyroidism high,18
1099,inflammatory,18
1100,intervertebral,18
1101,just,18
1102,late,18
1103,malnutrition,18
1104,mild hypertension,18
1105,note,18
1106,now,18
1107,ovary,18
1108,pollen allergy,18
1109,polymyalgia rheumatica,18
1110,premature,18
1111,primary diagnosis secondary,18
1112,pulmonary fibrosis,18
1113,right eye,18
1114,s,18
1115,spondylitis,18
1116,started,18
1117,subsequent,18
1118,thalassemia,18
1119,unspecified site,18
1120,update r,18
1121,valve stenosis,18
1122,z personal,18
1123,allergies penicillin,17
1124,allergy asthma,17
1125,asthma hypothyroidism,17
1126,bells palsy,17
1127,cad sp,17
1128,cancer sp,17
1129,child,17
1130,cholesterol hypertension,17
1131,complication,17
1132,covid vaccine,17
1133,diabetes mellitus hypertension,17
1134,dyspnea,17
1135,e type,17
1136,e type diabetes,17
1137,early,17
1138,esophageal reflux,17
1139,essential tremor,17
1140,failure hypoxia,17
1141,heart rate,17
1142,hospital,17
1143,htn hypertension,17
1144,hypertension osteoarthritis,17
1145,inflammation,17
1146,intervertebral disc,17
1147,iodine allergy,17
1148,ischemic attack,17
1149,joint pain,17
1150,limb,17
1151,many,17
1152,mastectomy,17
1153,mellitus hypertension,17
1154,microscopic,17
1155,milk,17
1156,mother,17
1157,myeloma,17
1158,nicotine,17
1159,pancreatic,17
1160,persistent,17
1161,psychosis,17
1162,r dysphagia,17
1163,reactive airway,17
1164,renal insufficiency,17
1165,respiratory failure hypoxia,17
1166,secondary stay bulkload,17
1167,severe obesity,17
1168,sick sinus syndrome,17
1169,sinus syndrome,17
1170,sle,17
1171,sleep disorder,17
1172,squamous cell,17
1173,states,17
1174,stay bulkload,17
1175,stay bulkload update,17
1176,taken,17
1177,tape,17
1178,tested positive,17
1179,walking,17
1180,abnormalities gait,16
1181,abnormalities gait mobility,16
1182,acute respiratory failure,16
1183,adenoma,16
1184,admission update,16
1185,adrenal insufficiency,16
1186,allergy plants,16
1187,allergy shellfish,16
1188,anaphylactic reaction,16
1189,animal,16
1190,ankle,16
1191,antibody,16
1192,artery stenosis,16
1193,asthma environmental,16
1194,asthma migraine,16
1195,blood pressure asthma,16
1196,cerebral palsy,16
1197,cll,16
1198,controlled medication,16
1199,cystic,16
1200,deep,16
1201,def,16
1202,deficiency unspecified,16
1203,depression diabetes,16
1204,depressive disorder single,16
1205,died,16
1206,difficulty walking,16
1207,disorder single,16
1208,disorder single episode,16
1209,dm ii,16
1210,gait mobility,16
1211,grass,16
1212,gravis,16
1213,head,16
1214,hepatitis c,16
1215,high cholesterol hypertension,16
1216,hospice,16
1217,htn ckd,16
1218,htn diabetes,16
1219,hyperglycemia,16
1220,hypertension penicillin,16
1221,hypertension penicillin allergy,16
1222,hypertrophic,16
1223,hypoglycemia,16
1224,immune system,16
1225,injection,16
1226,knee pain,16
1227,left shoulder,16
1228,left side,16
1229,lower urinary,16
1230,lymphocytic,16
1231,m muscle,16
1232,malformation,16
1233,mg,16
1234,never,16
1235,nicotine dependence,16
1236,open heart surgery,16
1237,organism,16
1238,oropharyngeal,16
1239,paralysis,16
1240,peanut,16
1241,peanut allergy,16
1242,pituitary,16
1243,plantar,16
1244,plants,16
1245,polyneuropathy,16
1246,pre diabetic,16
1247,pressure asthma,16
1248,protein,16
1249,received,16
1250,several,16
1251,single episode,16
1252,sp cabg,16
1253,subsequent encounter,16
1254,sulfonamide allergy known,16
1255,tbi,16
1256,transient ischemic,16
1257,transient ischemic attack,16
1258,trigeminal,16
1259,veins,16
1260,vitiligo,16
1261,weight loss,16
1262,without complications,16
1263,z encounter,16
1264,aaa,15
1265,activation,15
1266,adhesive tape,15
1267,adhesive tape allergy,15
1268,afib htn,15
1269,allergy allergy,15
1270,allergy animal,15
1271,allergy food,15
1272,allergy shellfish allergy,15
1273,antibiotic,15
1274,appendectomy,15
1275,arthritis high,15
1276,aspiration,15
1277,asthma anxiety,15
1278,atrial fib,15
1279,attention,15
1280,bad,15
1281,bariatric,15
1282,basal cell carcinoma,15
1283,bee sting hypersensitivity,15
1284,blood clotting,15
1285,cancer years ago,15
1286,caused,15
1287,cell activation,15
1288,closed,15
1289,clot,15
1290,cognitive communication,15
1291,colonic,15
1292,communication,15
1293,contractions,15
1294,covid virus,15
1295,covidyes,15
1296,ct,15
1297,cuff,15
1298,current use insulin,15
1299,depression hypothyroidism,15
1300,diagnosed covidyes,15
1301,dry eyes,15
1302,ed,15
1303,egg,15
1304,f major,15
1305,f major depressive,15
1306,fasting,15
1307,flu,15
1308,followed,15
1309,frequent,15
1310,graft,15
1311,hands,15
1312,hemochromatosis,15
1313,herniated disc,15
1314,high diabetes,15
1315,high high,15
1316,hodgkins,15
1317,htn asthma,15
1318,htn obesity,15
1319,hyper,15
1320,hypothyroidism anxiety,15
1321,hypothyroidism asthma,15
1322,hypothyroidism htn,15
1323,i essential,15
1324,i essential primary,15
1325,icd snomed,15
1326,ischemic cardiomyopathy,15
1327,item,15
1328,iv,15
1329,joints,15
1330,july,15
1331,kidney transplant,15
1332,left hip,15
1333,lichen,15
1334,like,15
1335,longterm current,15
1336,longterm current use,15
1337,low thyroid,15
1338,m muscle weakness,15
1339,mast cell activation,15
1340,may,15
1341,mellitus type ii,15
1342,memory,15
1343,mgus,15
1344,mild cognitive,15
1345,mild cognitive impairment,15
1346,mutation,15
1347,nonranked,15
1348,nonranked diagnosis,15
1349,ocd,15
1350,oral,15
1351,pressure high diabetes,15
1352,proteinuria,15
1353,raynauds syndrome,15
1354,receiving,15
1355,record  resolve,15
1356,resection,15
1357,retinopathy,15
1358,rotator,15
1359,rotator cuff,15
1360,schizoaffective,15
1361,seafood,15
1362,seborrheic,15
1363,sided,15
1364,stage iii,15
1365,sting hypersensitivity,15
1366,tape allergy,15
1367,unspecified organism,15
1368,urine,15
1369,use insulin,15
1370,valve regurgitation,15
1371,vasovagal,15
1372,vitamin b deficiency,15
1373,work,15
1374,acute kidney failure,14
1375,admission also,14
1376,admission also present,14
1377,allergy food allergy,14
1378,also present,14
1379,also present admission,14
1380,alzheimers dementia,14
1381,anticoagulants,14
1382,arteries,14
1383,arthritis hypertension,14
1384,asthma allergic,14
1385,asthma blood,14
1386,asthma obesity,14
1387,asthmatic,14
1388,atopic,14
1389,benign essential hypertension,14
1390,blood pressure hypothyroidism,14
1391,breath,14
1392,caller,14
1393,causing,14
1394,cognitive communication deficit,14
1395,communication deficit,14
1396,congestion,14
1397,cysts,14
1398,depression high,14
1399,difficulty walking elsewhere,14
1400,doctor,14
1401,dust allergy,14
1402,egg allergy,14
1403,extremities,14
1404,failure kidney,14
1405,failure unspecified,14
1406,falling,14
1407,father,14
1408,fish allergy,14
1409,flutter,14
1410,fusion,14
1411,gastrointestinal,14
1412,hand,14
1413,heartburn,14
1414,hepatic,14
1415,hereditary,14
1416,hld htn,14
1417,hsv,14
1418,hyperparathyroidism,14
1419,hypertension copd,14
1420,hypertension thyroid,14
1421,hypothyroidism obesity,14
1422,impaired fasting,14
1423,infertility,14
1424,keratosis,14
1425,kidney stone,14
1426,large,14
1427,lower urinary tract,14
1428,lumbar region,14
1429,metastatic,14
1430,month,14
1431,mood disorder,14
1432,multiple myeloma,14
1433,nonrheumatic,14
1434,obstructive pulmonary unspecified,14
1435,osteoarthritis knee,14
1436,panic attacks,14
1437,panic disorder,14
1438,pneumonia unspecified,14
1439,present admission,14
1440,present admission update,14
1441,pressure hypothyroidism,14
1442,pulmonary unspecified,14
1443,radiation therapy,14
1444,rash,14
1445,recently,14
1446,reports,14
1447,requiring,14
1448,residual,14
1449,rheumatic,14
1450,sensorineural,14
1451,sinus infections,14
1452,situ,14
1453,spondylolisthesis,14
1454,stay update,14
1455,still,14
1456,systolic congestive,14
1457,tear,14
1458,took,14
1459,twice,14
1460,unspecified atrial,14
1461,unspecified atrial fibrillation,14
1462,unspecified dementia without,14
1463,update z,14
1464,vaccination diagnosed covidyes,14
1465,vaginal,14
1466,vocal,14
1467,walking elsewhere,14
1468,wo,14
1469,allergy seasonal,13
1470,anticoagulation,13
1471,antiphospholipid,13
1472,anxiety disorder unspecified,13
1473,around,13
1474,arterial,13
1475,asthma hypothyroid,13
1476,atopic dermatitis,13
1477,atrial fibrillation hypertension,13
1478,benign prostatic hypertrophy,13
1479,blood pressure thyroid,13
1480,branch,13
1481,branch block,13
1482,broken,13
